8.750000000000000000e+00 0.000000000000000000e+00 3.193899006268169916e-07 9.219999999999999180e-09
8.949999999999999289e+00 0.000000000000000000e+00 3.337968375952675961e-07 1.159999999999999965e-08
9.199999999999999289e+00 0.000000000000000000e+00 4.212726194795914153e-07 1.480000000000000018e-08
9.509999999999999787e+00 0.000000000000000000e+00 4.870602814938862590e-07 1.740000000000000030e-08
1.014000000000000057e+01 0.000000000000000000e+00 6.549043366564718427e-07 2.459999999999999860e-08
1.078999999999999915e+01 0.000000000000000000e+00 8.355428314589094561e-07 3.550000000000000025e-08
1.146000000000000085e+01 0.000000000000000000e+00 1.360012733603882638e-06 5.330000000000000082e-08
1.214000000000000057e+01 0.000000000000000000e+00 1.793098287402897431e-06 7.199999999999999621e-08
1.284999999999999964e+01 0.000000000000000000e+00 1.686350585056316958e-06 6.700000000000000438e-08
1.357000000000000028e+01 0.000000000000000000e+00 1.422619985344834010e-06 5.340000000000000171e-08
